num,target
10481,0
10482,1
10483,2
10484,3
10485,4
10486,5
10487,6
10488,7
10489,8
10490,9
10491,10
10492,11
10493,12
10494,13
10495,14
10496,15
10497,16
10498,17
10499,18
10500,19
10501,20
10502,21
10503,22
10504,23
10505,24
10506,25
10507,26
10508,27
10509,28
10510,29
10511,30
10512,31
10513,32
10514,33
10515,34
10516,35
10517,36
10518,37
10519,38
10520,39
10521,40
10522,41
10523,42
10524,43
10525,44
10526,45
10527,46
10528,47
10529,48
10530,49
10531,50
10532,51
10533,52
10534,53
10535,54
10536,55
10537,56
10538,57
10539,58
10540,59
10541,60
10542,61
10543,62
10544,63
10545,64
10546,65
10547,66
10548,67
10549,68
10550,69
10551,70
10552,71
10553,72
10554,73
10555,74
10556,75
10557,76
10558,77
10559,78
10560,79
10561,80
10562,81
10563,82
10564,83
10565,84
10566,85
10567,86
10568,87
10569,88
10570,89
10571,90
10572,91
10573,92
10574,93
10575,94
10576,95
10577,96
10578,97
10579,98
10580,99
10581,100
10582,112
10583,119
10584,1000
10585,10000
10586,가렵다
10587,가스
10588,가슴
10589,가시
10590,각목
10591,갇히다
10592,감금
10593,감전
10594,강
10595,강남구
10596,강동구
10597,강북구
10598,강서구
10599,강풍
10600,개
10601,거실
10602,걸렸다
10603,결박
10604,경운기
10605,경찰
10606,경찰차
10607,계곡
10608,계단
10609,고속도로
10610,고압전선
10611,고열
10612,고장
10613,부러지다
10614,골절
10615,탈골
10616,곰
10617,공사장
10618,공원
10619,놀이터
10620,공장
10621,관악구
10622,광진구
10623,교통사고
10624,구급대
10625,구급대원
10626,구급차
10627,구로구
10628,구청
10629,구해주세요
10630,귀
10631,금가다
10632,금요일
10633,금천구
10634,급류
10635,기절
10636,기절하다
10637,깔리다
10638,끓는물
10639,남자친구
10640,남편
10641,남학생
10642,납치
10643,낫
10644,낯선남자
10645,낯선사람
10646,낯선여자
10647,내년
10648,내일
10649,냄새나다
10650,노원구
10651,논
10652,농약
10653,누나
10654,누수
10655,누전
10656,누출
10657,눈
10658,다리
10659,다음
10660,달(월)
10661,대문앞
10662,도둑
10663,절도
10664,도로
10665,도봉구
10666,독극물
10667,독버섯
10668,독사
10669,동대문구
10670,동생
10671,동작구
10672,동전
10673,두드러기생기다
10674,뒤
10675,뒤통수
10676,등
10677,딸
10678,떨어지다
10679,쓰러지다
10680,뜨거운물
10681,마당
10682,마포구
10683,말려주세요
10684,말벌
10685,맹견
10686,머리
10687,멧돼지
10688,목
10689,목요일
10690,무너지다
10691,붕괴
10692,무릎
10693,문틈
10694,물
10695,밑에
10696,아래
10697,바다
10698,반점생기다
10699,발
10700,발가락
10701,발목
10702,발작
10703,방망이
10704,밭
10705,배
10706,복부
10707,배고프다
10708,뱀
10709,벌
10710,범람
10711,벼락
10712,병원
10713,보건소
10714,보내주세요(경찰)
10715,보내주세요(구급차)
10716,복통
10717,볼
10718,부엌
10719,불
10720,불나다
10721,붕대
10722,비닐하우스
10723,비상약
10724,빌라
10725,뼈
10726,사이
10727,산
10728,살충제
10729,살해
10730,삼키다
10731,서대문구
10732,서랍
10733,서울시
10734,서초구
10735,선반
10736,선생님
10737,성동구
10738,성북구
10739,성폭행
10740,소방관
10741,소방차
10742,소화기
10743,소화전
10744,손
10745,손가락
10746,손목
10747,송파구
10748,수영장
10749,수요일
10750,술취한 사람
10751,숨을안쉬다
10752,시청
10753,신고하세요(경찰)
10754,심장마비
10755,아기
10756,아이들
10757,어린이
10758,아내
10759,아들
10760,아빠
10761,아저씨
10762,아줌마
10763,아파트
10764,인대
10765,안방
10766,알려주세요
10767,앞
10768,앞집
10769,약국
10770,약사
10771,양천구
10772,어깨
10773,어제
10774,어지러움
10775,언니
10776,얼굴
10777,엄마
10778,엘리베이터
10779,여자친구
10780,여학생
10781,연기
10782,연락해주세요
10783,열
10784,열나다
10785,열어주세요
10786,엽총
10787,영등포구
10788,옆집
10789,옆집 아저씨
10790,옆집 할아버지
10791,옆집사람
10792,옆쪽
10793,오늘
10794,오른쪽
10795,오른쪽-귀
10796,오른쪽-눈
10797,오빠
10798,옥상
10799,올해
10800,왼쪽
10801,왼쪽-귀
10802,왼쪽-눈
10803,욕실
10804,용산구
10805,우리집
10806,운동장
10807,월요일
10808,위
10809,위에
10810,위협
10811,윗집
10812,윗집사람
10813,유리
10814,유치원
10815,유치원 버스
10816,은평구
10817,음식물
10818,응급대원
10819,응급처리
10820,의사
10821,이마
10822,이물질
10823,이번
10824,이상한사람
10825,이웃집
10826,일요일
10827,임산부
10828,임신한아내
10829,자동차
10830,자살
10831,자상
10832,작년
10833,작은방
10834,장난감
10835,장단지
10836,절단
10837,제초제
10838,조난
10839,종로구
10840,주
10841,중구
10842,중랑구
10843,지난
10844,지혈대
10845,진통제
10846,질식
10847,집
10848,집단폭행
10849,차밖
10850,차안
10851,창문
10852,창백하다
10853,체온계
10854,총
10855,추락
10856,축사
10857,출산
10858,출혈
10859,피나다
10860,친구
10861,침수
10862,칼
10863,코
10864,택시
10865,토요일
10866,토하다
10867,통학버스
10868,트랙터
10869,트럭
10870,파도
10871,파편
10872,팔
10873,팔꿈치
10874,폭발
10875,폭탄
10876,폭우
10877,폭행
10878,학교
10879,학생
10880,할머니
10881,할아버지
10882,함몰되다
10883,해(연)
10884,해독제
10885,해열제
10886,허리
10887,허벅지
10888,현관
10889,현관앞
10890,협박
10891,형
10892,호흡곤란
10893,호흡기
10894,홍수
10895,화상
10896,화약
10897,화요일
10898,화장실
10899,화재
10900,0
10901,1
10902,2
10903,3
10904,4
10905,5
10906,6
10907,7
10908,8
10909,9
10910,10
10911,11
10912,12
10913,13
10914,14
10915,15
10916,16
10917,17
10918,18
10919,19
10920,20
10921,21
10922,22
10923,23
10924,24
10925,25
10926,26
10927,27
10928,28
10929,29
10930,30
10931,31
10932,32
10933,33
10934,34
10935,35
10936,36
10937,37
10938,38
10939,39
10940,40
10941,41
10942,42
10943,43
10944,44
10945,45
10946,46
10947,47
10948,48
10949,49
10950,50
10951,51
10952,52
10953,53
10954,54
10955,55
10956,56
10957,57
10958,58
10959,59
10960,60
10961,61
10962,62
10963,63
10964,64
10965,65
10966,66
10967,67
10968,68
10969,69
10970,70
10971,71
10972,72
10973,73
10974,74
10975,75
10976,76
10977,77
10978,78
10979,79
10980,80
10981,81
10982,82
10983,83
10984,84
10985,85
10986,86
10987,87
10988,88
10989,89
10990,90
10991,91
10992,92
10993,93
10994,94
10995,95
10996,96
10997,97
10998,98
10999,99
11000,100
11001,112
11002,119
11003,1000
11004,10000
11005,가렵다
11006,가스
11007,가슴
11008,가시
11009,각목
11010,갇히다
11011,감금
11012,감전
11013,강
11014,강남구
11015,강동구
11016,강북구
11017,강서구
11018,강풍
11019,개
11020,거실
11021,걸렸다
11022,결박
11023,경운기
11024,경찰
11025,경찰차
11026,계곡
11027,계단
11028,고속도로
11029,고압전선
11030,고열
11031,고장
11032,부러지다
11033,골절
11034,탈골
11035,곰
11036,공사장
11037,공원
11038,놀이터
11039,공장
11040,관악구
11041,광진구
11042,교통사고
11043,구급대
11044,구급대원
11045,구급차
11046,구로구
11047,구청
11048,구해주세요
11049,귀
11050,금가다
11051,금요일
11052,금천구
11053,급류
11054,기절
11055,기절하다
11056,깔리다
11057,끓는물
11058,남자친구
11059,남편
11060,남학생
11061,납치
11062,낫
11063,낯선남자
11064,낯선사람
11065,낯선여자
11066,내년
11067,내일
11068,냄새나다
11069,노원구
11070,논
11071,농약
11072,누나
11073,누수
11074,누전
11075,누출
11076,눈
11077,다리
11078,다음
11079,달(월)
11080,대문앞
11081,도둑
11082,절도
11083,도로
11084,도봉구
11085,독극물
11086,독버섯
11087,독사
11088,동대문구
11089,동생
11090,동작구
11091,동전
11092,두드러기생기다
11093,뒤
11094,뒤통수
11095,등
11096,딸
11097,떨어지다
11098,쓰러지다
11099,뜨거운물
11100,마당
11101,마포구
11102,말려주세요
11103,말벌
11104,맹견
11105,머리
11106,멧돼지
11107,목
11108,목요일
11109,무너지다
11110,붕괴
11111,무릎
11112,문틈
11113,물
11114,밑에
11115,아래
11116,바다
11117,반점생기다
11118,발
11119,발가락
11120,발목
11121,발작
11122,방망이
11123,밭
11124,배
11125,복부
11126,배고프다
11127,뱀
11128,벌
11129,범람
11130,벼락
11131,병원
11132,보건소
11133,보내주세요(경찰)
11134,보내주세요(구급차)
11135,복통
11136,볼
11137,부엌
11138,불
11139,불나다
11140,붕대
11141,비닐하우스
11142,비상약
11143,빌라
11144,뼈
11145,사이
11146,산
11147,살충제
11148,살해
11149,삼키다
11150,서대문구
